Id,Datum,Ort,Stadt,Bericht,Ermittler
24,12.06.2024,Parkhaus,Lübeck,Gegen 17 Uhr wurde ein blauer BMW X5 gestohlen.,Jan Lehmann
25,05.06.2024,Wohnung,Hamburg,Um 24 Uhr wurde in eine Wohnung in einem Mehrfamilienblock eingebrochen.,Jonas Faber
26,25.06.2024,Bank,Lübeck,Um 15:22 Uhr wurde die Bank überfallen. Dabei wurden 100.000 Euro gestohlen. ,Alexander Wolf
27,17.06.2024,Apotheke,Kiel,Um 12:45 Uhr wurden Medikamente und Bargeld aus der Apotheke entwendet. Die Überwachungskameras haben den Täter aufgezeichnet.,Alexander Wolf
28,25.06.2024,Baumarkt,Lübeck,Um 14 Uhr wurden Baumaterialien im Wert von 3.000 Euro aus dem Lager des Baumarkts entwendet. Spuren von Fahrzeugreifen sind vorhanden.,Alexander Wolf
29,09.06.2024,Hafen,Hamburg,Gegen 11 Uhr wurde ein LKW voller Elektronikgeräte gestohlen. ,Jonas Faber
30,14.06.2024,Symmex,Lübeck,Um 2:03 Uhr wurden Fenster bei der Firma Symmex eingeschlagen und Computer zerstört. Der Täter hinterließ Graffiti an den Wänden.,Tobias Scholz
31,17.06.2024,Wohnung,Henstedt-Ulzburg,"Ein Streit zwischen zwei Nachbarn eskalierte und führte zu schweren Verletzungen. Täter wurde vor Ort festgenommen, Opfer im Krankenhaus behandelt.",Tobias Scholz
32,08.06.2024,Bank,Schleswig,Gegen 12 Uhr nahm ein bewaffneter Täter mehrere Geiseln und forderte Lösegeld. Polizei konnte nach stundenlangen Verhandlungen die Geiseln befreien. Täter wurde festgenommen.,Tobias Scholz
33,15.06.2024,Elektrikgeschäft,Rendsburg,Gegen 17 Uhr entwendete der Täter mehrere Laptops und Handys. Der Einbrecher trug Handschuhe und eine Maske.,Julia Groß
34,02.06.2024,Wohnung,Elmshorn,"Um 6 Uhr morgens wurde in eine Wohnung eingebrochen. Es gab keine Verletzten, da die Bewohner waren verreist. ",Tobias Scholz
35,18.06.2024,Hotel,Hamburg,Um 20 Uhr wurden aus einem Hotelzimmer Wertgegenstände und Bargeld entwendet. Keine Spuren eines Einbruchs.,Jonas Faber
36,21.06.2024,Wohnung,Norderstedt,"Gegen 7 Uhr wurde im Keller des Wohnblocks Feuer gelegt, welches die Feuerwehr löschen konnte. Täter unbekannt.",Lukas Schuster
37,17.06.2024,Lagerhalle,Kiel,Um 22 Uhr brach der Täter durch ein Fenster ein und entwendete Elektronikgeräte.,Alexander Wolf
38,19.06.2024,Bibliothek,Kiel,Gegen 11 Uhr zerstörten Unbekannte mehrere Bücher und Möbel. Zeugen sahen eine Gruppe Jugendlicher in der Nähe.,Jonas Faber
39,02.06.2024,Wohnung,Hamburg,Um 21:05 Uhr wurde ein Junge vermisst gemeldet. Der acht jährige war nach der Schule nicht nach Hause gekommen.,Jonas Faber
40,16.06.2024,Wohnung,Neumünster,"Um 16 Uhr wurde Frau M. in ihrer eigenen Wohnung ermordet. Neben ihrer Leiche fand die Spurensicherung einen Hammer, der aus der Werkstatt ihres Mannes stammte.",Alexander Wolf
41,01.06.2024,Drogeriemarkt,Kaltenkirchen,"Um 13:30 Uhr wurde im DM in der Waldenburg Str.ein Diebstahl von Kosmetikartikeln gemeldet. Eine Frau versuchte den Laden, ohne zu zahlen zu verlassen.",Jonas Faber
42,26.06.2024,Stadion,Hamburg,Um 21 Uhr zerstörten die Täter die Tore und verwüsteten den Platz des Stadions. Spuren von Fahrzeugen sind vorhanden.,Jonas Faber
43,19.06.2024,Juwelier,Norderstedt,"Gegen 13 Uhr lenkte eine Gruppe von drei Personen das Personal eines Juweliers ab, während ein vierter Täter Schmuck im Wert von 10.000 Euro stahl.",Lukas Schuster
44,04.06.2024,Spielplatz,Kiel,"Ein fünfjähriges Kind wurde von einem unbekannten Mann entführt. Zeugen berichteten von einem weißen Lieferwagen, der sich schnell entfernte. Großfahndung eingeleitet.",Alexander Wolf
45,16.06.2024,Juwelier,Henstedt-Ulzburg,Täter schlugen die Schaufensterscheibe ein und entwendeten Schmuck im Wert von ca. 20.000 Euro. ,Tobias Scholz
46,25.06.2024,Kirche,Schleswig,Unbekannte stahlen Kupfer von den Dachrinnen und Blitzableitern der Kirche. ,Julia Groß
47,16.06.2024,Schule,Rendsburg,Um 18:01 Uhr beschmierten der Unbekannte die Wände und zerstörten Mobiliar. Überwachungskameras sind vorhanden.,Julia Groß
48,24.04.2024,Wohnung,Elmshorn,Um 5 Uhr morgens wurde in die Wohnung von Herrn B. eingebrochen. Herr B. war auf Dienstreise.,Jonas Faber
49,03.06.2024,Innenstadt,Hamburg,Um 17:45 Uhr wurde ein Taschendiebstahl gemeldet. Ein Handy wurde beim Shopping von einer unbekannten Person gestohlen.,Jonas Faber
50,15.06.2024,Wohnung,Norderstedt,Gegen 16 Uhr brach ein Einbrecher in den Wohnblock ein. Er bedrohte zwei Bewohner und floh mit ihrem Schmuck.,Lukas Schuster
51,02.06.2024,Park,Kiel,Um 21:15 Uhr wurde eine Gruppe Jugendlicher beim Vandalismus erwischt. Bänke wurden umgestoßen und Mülleimer beschädigt.,Julia Groß
52,03.06.2024,Schule,Lübeck,Ein Einbruch in der Schule wurde um 6:30 Uhr gemeldet. Mehrere Laptops und Tablets wurden gestohlen. Fenster wurden eingeschlagen.,Jonas Faber
53,04.06.2024,Supermarkt,Flensburg,Um 12:50 Uhr wurde ein Diebstahl gemeldet. Ein Mann entwendete mehrere Lebensmittel und flüchtete. Die Kameraaufnahmen werden überprüft.,Alexander Wolf
54,05.06.2024,Bahnhof,Neumünster,Eine Schlägerei zwischen zwei Personen wurde um 14:20 Uhr gemeldet. Beide Beteiligten wurden festgenommen und zur Befragung gebracht.,Tobias Scholz
55,06.06.2024,Café,Elmshorn,Ein Überfall auf ein Café wurde um 9:00 Uhr gemeldet. Der Täter bedrohte das Personal mit einer Waffe und entkam mit Bargeld.,Jan Lehmann
56,07.06.2024,Bank,Rendsburg,Um 11:30 Uhr wurde ein Banküberfall gemeldet. Der Täter trug eine Maske und entkam mit einer hohen Geldsumme.,Lukas Schuster
57,08.06.2024,Bibliothek,Norderstedt,Ein Feuer wurde um 19:15 Uhr in der Bibliothek gemeldet. Mehrere Bücherregale wurden zerstört. Brandstiftung wird vermutet.,Julia Groß
58,09.06.2024,Krankenhaus,Itzehoe,Ein Einbruch im Krankenhaus wurde um 3:00 Uhr gemeldet. Medizinische Geräte wurden gestohlen.,Jonas Faber
59,10.06.2024,Wohnhaus,Bad Oldesloe,Um 23:45 Uhr wurde ein Einbruch in ein Wohnhaus gemeldet. Der Täter entkam mit Schmuck und Bargeld.,Alexander Wolf
60,11.06.2024,Kino,Schleswig,Um 21:00 Uhr wurde ein Raubüberfall im Kino gemeldet. Der Täter bedrohte die Angestellten mit einer Waffe und flüchtete.,Tobias Scholz
61,12.06.2024,Einkaufszentrum,Wedel,Ein Taschendiebstahl wurde um 15:30 Uhr im Einkaufszentrum gemeldet. Der Dieb konnte unerkannt entkommen.,Jan Lehmann
62,13.06.2024,Tankstelle,Pinneberg,Um 22:00 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit dem Bargeld.,Lukas Schuster
63,14.06.2024,Bürogebäude,Elmshorn,Ein Einbruch im Bürogebäude wurde um 5:45 Uhr gemeldet. Computer und wichtige Dokumente wurden gestohlen.,Julia Groß
64,15.06.2024,Restaurant,Heide,Um 20:15 Uhr wurde ein Überfall im Restaurant gemeldet. Der Täter flüchtete mit dem Tagesumsatz.,Jonas Faber
65,16.06.2024,Lagerhaus,Husum,Ein Einbruch im Lagerhaus wurde um 3:30 Uhr gemeldet. Mehrere Kisten mit Elektronikartikeln wurden gestohlen.,Alexander Wolf
66,17.06.2024,Schule,Bad Segeberg,Um 8:00 Uhr wurde Vandalismus in der Schule gemeldet. Wände wurden beschmiert und Fenster eingeschlagen.,Tobias Scholz
67,18.06.2024,Stadion,Lübeck,Eine Schlägerei während eines Fußballspiels wurde um 17:45 Uhr gemeldet. Mehrere Personen wurden verletzt.,Jan Lehmann
68,19.06.2024,Park,Flensburg,Ein Diebstahl von Fahrrädern wurde um 10:30 Uhr gemeldet. Die Täter konnten unerkannt entkommen.,Lukas Schuster
69,20.06.2024,Hotel,Rendsburg,Ein Einbruch im Hotel wurde um 1:00 Uhr gemeldet. Bargeld und Wertsachen der Gäste wurden gestohlen.,Julia Groß
70,21.06.2024,Geschäft,Neumünster,Um 16:15 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter wurde von der Polizei festgenommen.,Jonas Faber
71,22.06.2024,Krankenhaus,Kiel,Ein Einbruch im Krankenhaus wurde um 4:00 Uhr gemeldet. Medizinische Geräte und Medikamente wurden gestohlen.,Alexander Wolf
72,23.06.2024,Werkstatt,Reinbek,Um 11:00 Uhr wurde ein Einbruch in eine Werkstatt gemeldet. Werkzeug und Maschinen wurden entwendet.,Tobias Scholz
73,24.06.2024,Parkplatz,Itzehoe,Ein Autodiebstahl wurde um 13:45 Uhr auf dem Parkplatz gemeldet. Das Fahrzeug wurde später verlassen gefunden.,Jan Lehmann
74,25.06.2024,Bar,Bad Oldesloe,Um 23:30 Uhr wurde ein Überfall in einer Bar gemeldet. Der Täter bedrohte das Personal und flüchtete mit dem Bargeld.,Lukas Schuster
75,26.06.2024,Fitnessstudio,Elmshorn,Ein Diebstahl im Fitnessstudio wurde um 20:00 Uhr gemeldet. Mehrere Spinde wurden aufgebrochen und Wertsachen entwendet.,Julia Groß
76,27.06.2024,Kaufhaus,Norderstedt,Um 14:20 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte mit der Ware entkommen.,Jonas Faber
77,28.06.2024,Markt,Pinneberg,Ein Diebstahl auf dem Wochenmarkt wurde um 10:00 Uhr gemeldet. Ein Geldbeutel wurde gestohlen.,Alexander Wolf
78,29.06.2024,Schwimmbad,Schleswig,"Um 18:30 Uhr wurde ein Vorfall im Schwimmbad gemeldet. Ein Kind wurde vermisst, später aber sicher gefunden.",Tobias Scholz
79,30.06.2024,Spielplatz,Wedel,Ein Vorfall auf dem Spielplatz wurde um 15:45 Uhr gemeldet. Ein Kind wurde von einem Hund gebissen.,Jan Lehmann
80,01.06.2024,Kirche,Reinbek,Um 8:00 Uhr wurde ein Feuer in der Kirche gelegt. Am Tatort wurden Reste von Benzin gefunden.,Lukas Schuster
81,02.06.2024,Park,Kiel,Um 21:30 Uhr wurde Vandalismus im Park gemeldet. Bänke und Spielgeräte wurden beschädigt.,Julia Groß
82,03.06.2024,Schule,Lübeck,Ein Einbruch in der Schule wurde um 7:00 Uhr gemeldet. Mehrere Computer wurden gestohlen.,Jonas Faber
83,04.06.2024,Supermarkt,Flensburg,Um 13:00 Uhr wurde ein Diebstahl im Supermarkt gemeldet. Der Täter entkam mit mehreren Artikeln.,Alexander Wolf
84,05.06.2024,Bahnhof,Neumünster,Eine Schlägerei zwischen mehreren Personen wurde um 14:45 Uhr gemeldet.,Tobias Scholz
85,06.06.2024,Café,Elmshorn,Ein Überfall auf ein Café wurde um 10:00 Uhr gemeldet. Der Täter bedrohte das Personal und flüchtete mit Bargeld.,Jan Lehmann
86,07.06.2024,Bank,Rendsburg,Um 12:00 Uhr wurde ein Banküberfall gemeldet. Der Täter floh mit einer großen Geldsumme.,Lukas Schuster
87,08.06.2024,Bibliothek,Norderstedt,Ein Feuer in der Bibliothek wurde um 20:00 Uhr gemeldet. Mehrere Bücher wurden zerstört.,Julia Groß
88,09.06.2024,Krankenhaus,Itzehoe,Ein Einbruch im Krankenhaus wurde um 4:30 Uhr gemeldet. Medizinische Ausrüstung wurde gestohlen.,Jonas Faber
89,10.06.2024,Wohnhaus,Bad Oldesloe,Um 0:00 Uhr wurde ein Einbruch in ein Wohnhaus gemeldet. Der Täter entkam mit Schmuck und Bargeld.,Alexander Wolf
90,11.06.2024,Kino,Schleswig,Um 21:30 Uhr wurde ein Überfall im Kino gemeldet. Der Täter bedrohte die Mitarbeiter und flüchtete mit Geld.,Tobias Scholz
91,12.06.2024,Einkaufszentrum,Wedel,Ein Taschendiebstahl wurde um 16:00 Uhr im Einkaufszentrum gemeldet.,Jan Lehmann
92,13.06.2024,Tankstelle,Pinneberg,Um 22:30 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit Bargeld.,Lukas Schuster
93,14.06.2024,Bürogebäude,Elmshorn,Ein Einbruch im Bürogebäude wurde um 6:00 Uhr gemeldet. Computer und Dokumente wurden gestohlen.,Julia Groß
94,15.06.2024,Restaurant,Heide,Um 20:45 Uhr wurde ein Überfall im Restaurant gemeldet. Der Täter entkam mit dem Tagesumsatz.,Jonas Faber
95,16.06.2024,Lagerhaus,Husum,Ein Einbruch im Lagerhaus wurde um 4:00 Uhr gemeldet. Mehrere Kisten mit Elektronik wurden gestohlen.,Alexander Wolf
96,17.06.2024,Schule,Bad Segeberg,Um 8:30 Uhr wurde Vandalismus in der Schule gemeldet. Wände wurden beschmiert.,Tobias Scholz
97,18.06.2024,Stadion,Lübeck,Eine Schlägerei während eines Fußballspiels wurde um 18:00 Uhr gemeldet. Mehrere Personen wurden festgenommen.,Jan Lehmann
98,19.06.2024,Park,Flensburg,Ein Diebstahl von Fahrrädern wurde um 11:00 Uhr gemeldet.,Lukas Schuster
99,20.06.2024,Hotel,Rendsburg,Ein Einbruch im Hotel wurde um 2:00 Uhr gemeldet. Wertsachen der Gäste wurden gestohlen.,Julia Groß
100,21.06.2024,Geschäft,Neumünster,Um 17:00 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter wurde festgenommen.,Jonas Faber
101,22.06.2024,Markt,Kiel,Um 10:30 Uhr wurde ein Handtaschendiebstahl gemeldet. Der Täter entkam unerkannt.,Alexander Wolf
102,23.06.2024,Wohnhaus,Lübeck,Ein Einbruch in ein Wohnhaus wurde um 2:45 Uhr gemeldet. Schmuck und Bargeld wurden gestohlen.,Tobias Scholz
103,24.06.2024,Schule,Flensburg,Vandalismus in der Schule wurde um 6:00 Uhr gemeldet. Fenster wurden eingeschlagen und Wände beschmiert.,Jan Lehmann
104,25.06.2024,Krankenhaus,Neumünster,Ein Diebstahl von Medikamenten wurde um 3:15 Uhr gemeldet.,Lukas Schuster
105,26.06.2024,Restaurant,Elmshorn,Um 21:00 Uhr wurde ein Raubüberfall im Restaurant gemeldet. Der Täter flüchtete mit Bargeld.,Julia Groß
106,27.06.2024,Tankstelle,Rendsburg,Um 23:00 Uhr wurde ein Überfall auf eine Tankstelle gemeldet. Der Täter bedrohte den Kassierer und entkam mit dem Geld.,Jonas Faber
107,28.06.2024,Einkaufszentrum,Itzehoe,Ein Taschendiebstahl wurde um 15:30 Uhr im Einkaufszentrum gemeldet.,Alexander Wolf
108,29.06.2024,Kino,Bad Oldesloe,Um 19:00 Uhr wurde ein Raubüberfall im Kino gemeldet. Der Täter entkam mit der Tageskasse.,Tobias Scholz
109,30.06.2024,Fitnessstudio,Norderstedt,Ein Diebstahl im Fitnessstudio wurde um 8:00 Uhr gemeldet. Mehrere Schließfächer wurden aufgebrochen und Wertsachen gestohlen.,Jan Lehmann
110,01.06.2024,Supermarkt,Reinbek,Um 13:45 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte entkommen.,Lukas Schuster
111,03.06.2024,Café,Kiel,Ein Raubüberfall im Café wurde um 10:00 Uhr gemeldet. Der Täter bedrohte das Personal mit einer Waffe.,Julia Groß
112,04.06.2024,Park,Lübeck,Um 20:30 Uhr wurde ein Überfall im Park gemeldet. Ein Passant wurde ausgeraubt.,Jonas Faber
113,10.06.2024,Bibliothek,Flensburg,Ein Einbruch in die Bibliothek wurde um 4:00 Uhr gemeldet. Bücher und Elektronik wurden gestohlen.,Alexander Wolf
114,13.06.2024,Tankstelle,Neumünster,Um 22:15 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit dem Bargeld.,Tobias Scholz
115,22.06.2024,Hotel,Elmshorn,Ein Einbruch in ein Hotelzimmer wurde um 2:30 Uhr gemeldet. Wertsachen der Gäste wurden gestohlen.,Jan Lehmann
116,17.06.2024,Supermarkt,Rendsburg,Um 14:00 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte unerkannt entkommen.,Lukas Schuster
117,18.06.2024,Krankenhaus,Itzehoe,Ein Einbruch im Krankenhaus wurde um 3:45 Uhr gemeldet. Medizinische Geräte und Medikamente wurden gestohlen.,Julia Groß
118,06.06.2024,Wohnhaus,Bad Oldesloe,Um 23:00 Uhr wurde ein Einbruch in ein Wohnhaus gemeldet. Der Täter entkam mit Wertsachen.,Jonas Faber
119,21.06.2024,Schule,Norderstedt,Vandalismus in der Schule wurde um 7:00 Uhr gemeldet. Fenster wurden eingeschlagen und Möbel beschädigt.,Alexander Wolf
120,09.06.2024,Restaurant,Reinbek,Ein Raubüberfall im Restaurant wurde um 20:30 Uhr gemeldet. Der Täter bedrohte das Personal und entkam mit dem Bargeld.,Tobias Scholz
121,23.06.2024,Café,Kiel,Um 11:00 Uhr wurde ein Diebstahl im Café gemeldet. Ein Laptop wurde gestohlen.,Jan Lehmann
122,08.06.2024,Park,Lübeck,Ein Überfall im Park wurde um 21:15 Uhr gemeldet. Ein Passant wurde ausgeraubt und leicht verletzt.,Lukas Schuster
123,02.06.2024,Kino,Flensburg,Ein Einbruch im Kino wurde um 5:00 Uhr gemeldet. Elektronik und Bargeld wurden gestohlen.,Julia Groß
124,20.06.2024,Tankstelle,Neumünster,Um 23:30 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit dem Geld.,Jonas Faber
125,21.06.2024,Einkaufszentrum,Elmshorn,Ein Taschendiebstahl wurde um 16:00 Uhr im Einkaufszentrum gemeldet.,Alexander Wolf
126,13.06.2024,Fitnessstudio,Rendsburg,Ein Diebstahl im Fitnessstudio wurde um 9:00 Uhr gemeldet. Mehrere Schließfächer wurden aufgebrochen.,Tobias Scholz
127,07.06.2024,Hotel,Itzehoe,Ein Einbruch in ein Hotelzimmer wurde um 1:30 Uhr gemeldet. Wertsachen der Gäste wurden gestohlen.,Jan Lehmann
128,11.06.2024,Bibliothek,Bad Oldesloe,Ein Einbruch in die Bibliothek wurde um 3:00 Uhr gemeldet. Bücher und Elektronik wurden gestohlen.,Lukas Schuster
129,19.06.2024,Supermarkt,Norderstedt,Um 13:00 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte unerkannt entkommen.,Julia Groß
130,24.06.2024,Krankenhaus,Reinbek,Ein Einbruch im Krankenhaus wurde um 4:15 Uhr gemeldet. Medizinische Geräte und Medikamente wurden gestohlen.,Jonas Faber
131,27.06.2024,Wohnhaus,Kiel,Um 22:45 Uhr wurde ein Einbruch in ein Wohnhaus gemeldet. Der Täter entkam mit Wertsachen.,Alexander Wolf
132,18.06.2024,Schule,Lübeck,Vandalismus in der Schule wurde um 6:30 Uhr gemeldet. Fenster wurden eingeschlagen und Möbel beschädigt.,Tobias Scholz
133,12.06.2024,Restaurant,Flensburg,Ein Raubüberfall im Restaurant wurde um 21:00 Uhr gemeldet. Der Täter bedrohte das Personal und entkam mit dem Bargeld.,Jan Lehmann
134,05.06.2024,Café,Neumünster,Um 10:30 Uhr wurde ein Diebstahl im Café gemeldet. Ein Laptop wurde gestohlen.,Lukas Schuster
135,25.06.2024,Park,Elmshorn,Ein Überfall im Park wurde um 20:00 Uhr gemeldet. Ein Passant wurde ausgeraubt.,Julia Groß
136,17.06.2024,Kino,Rendsburg,Ein Einbruch im Kino wurde um 4:00 Uhr gemeldet. Elektronik und Bargeld wurden gestohlen.,Jonas Faber
137,25.06.2024,Tankstelle,Itzehoe,Um 22:00 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit dem Geld.,Alexander Wolf
138,09.06.2024,Einkaufszentrum,Bad Oldesloe,Ein Taschendiebstahl wurde um 15:30 Uhr im Einkaufszentrum gemeldet.,Tobias Scholz
139,14.06.2024,Fitnessstudio,Norderstedt,Ein Diebstahl im Fitnessstudio wurde um 8:00 Uhr gemeldet. Mehrere Schließfächer wurden aufgebrochen.,Jan Lehmann
140,17.06.2024,Supermarkt,Reinbek,Um 13:45 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte entkommen.,Lukas Schuster
141,08.06.2024,Café,Kiel,Ein Raubüberfall im Café wurde um 10:00 Uhr gemeldet. Der Täter bedrohte das Personal mit einer Waffe.,Julia Groß
142,15.06.2024,Park,Lübeck,Um 20:30 Uhr wurde ein Überfall im Park gemeldet. Ein Passant wurde ausgeraubt.,Jonas Faber
143,02.06.2024,Bibliothek,Flensburg,Ein Einbruch in die Bibliothek wurde um 4:00 Uhr gemeldet. Bücher und Elektronik wurden gestohlen.,Alexander Wolf
144,18.06.2024,Tankstelle,Neumünster,Um 22:15 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit dem Bargeld.,Tobias Scholz
145,21.06.2024,Hotel,Elmshorn,Ein Einbruch in ein Hotelzimmer wurde um 2:30 Uhr gemeldet. Wertsachen der Gäste wurden gestohlen.,Jan Lehmann
146,17.06.2024,Supermarkt,Rendsburg,Um 14:00 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte unerkannt entkommen.,Lukas Schuster
147,19.06.2024,Krankenhaus,Itzehoe,Ein Einbruch im Krankenhaus wurde um 3:45 Uhr gemeldet. Medizinische Geräte und Medikamente wurden gestohlen.,Julia Groß
148,02.06.2024,Wohnhaus,Bad Oldesloe,Um 23:00 Uhr wurde ein Einbruch in ein Wohnhaus gemeldet. Der Täter entkam mit Wertsachen.,Jonas Faber
149,16.06.2024,Schule,Norderstedt,Vandalismus in der Schule wurde um 7:00 Uhr gemeldet. Fenster wurden eingeschlagen und Möbel beschädigt.,Alexander Wolf
150,01.06.2024,Restaurant,Reinbek,Ein Raubüberfall im Restaurant wurde um 20:30 Uhr gemeldet. Der Täter bedrohte das Personal und entkam mit dem Bargeld.,Tobias Scholz
152,26.06.2024,Café,Kiel,Um 11:00 Uhr wurde ein Diebstahl im Café gemeldet. Ein Laptop wurde gestohlen.,Jan Lehmann
153,19.06.2024,Park,Lübeck,Ein Überfall im Park wurde um 21:15 Uhr gemeldet. Ein Passant wurde ausgeraubt und leicht verletzt.,Lukas Schuster
154,01.06.2024,Kino,Flensburg,Ein Einbruch im Kino wurde um 5:00 Uhr gemeldet. Elektronik und Bargeld wurden gestohlen.,Julia Groß
155,03.06.2024,Tankstelle,Neumünster,Um 23:30 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit dem Geld.,Jonas Faber
156,04.06.2024,Einkaufszentrum,Elmshorn,Ein Taschendiebstahl wurde um 16:00 Uhr im Einkaufszentrum gemeldet.,Alexander Wolf
157,10.06.2024,Fitnessstudio,Rendsburg,Ein Diebstahl im Fitnessstudio wurde um 9:00 Uhr gemeldet. Mehrere Schließfächer wurden aufgebrochen.,Tobias Scholz
158,13.06.2024,Hotel,Itzehoe,Ein Einbruch in ein Hotelzimmer wurde um 1:30 Uhr gemeldet. Wertsachen der Gäste wurden gestohlen.,Jan Lehmann
159,22.06.2024,Bibliothek,Bad Oldesloe,Ein Einbruch in die Bibliothek wurde um 3:00 Uhr gemeldet. Bücher und Elektronik wurden gestohlen.,Lukas Schuster
